 burst ID delayed:age delayed:massformed delayed:metallicity delayed:tau dust:Av nebular:logU redshift stellar_mass formed_mass sfr ssfr nsfr mass_weighted_age tform tquench mass_weighted_zmet chisq_phot continuum
75 0.3 1044211 0.0105 8.22356 0.40112 7.45165 0.44726 -3.53821 3.14063 8.20752 8.22356 1.67807 -7.98353 1.3038 0.00362 2.0033 99.0 0.40112 110.83209 2.4021e-19
76 0.02 1044301 0.47518 9.61454 1.27104 7.42427 0.74197 -2.03766 3.79513 9.47531 9.61454 14.3743 -8.29194 0.77915 0.16047 1.45125 99.0 1.26692 26.00706 8.0836e-20
77 0.01 1044344 0.77127 10.7311 0.07384 7.42505 2.07176 -2.82694 1.85152 10.56537 10.7311 128.1605 -8.46595 0.91069 0.26533 3.20178 99.0 0.0744 19.02422 2.3957e-19
78 0.02 1044486 0.37299 9.00168 0.47849 7.50509 0.08359 -1.98269 2.39023 8.87178 9.00168 4.645 -8.20817 1.0997 0.12572 2.57391 99.0 0.47867 72.19764 7.195000000000001e-19
79 0.0 1044518 1.8672 9.68484 1.17298 8.40052 0.16736 -3.30755 1.50917 9.49404 9.68484 4.68373 -8.82469 0.59803 0.64567 3.4579 99.0 1.17012 213.2947 1.9841e-18
80 0.3 1044569 0.01177 8.55539 1.25542 6.94273 0.32553 -3.29553 3.48855 8.53465 8.55539 3.6028 -7.97729 1.25174 0.00403 1.77621 99.0 1.25266 23.75471 5.1182e-19
81 0.19 1044689 0.03826 7.85603 0.76373 6.87911 0.05841 -1.59733 3.67094 7.80262 7.85603 0.71991 -7.95098 1.22246 0.01282 1.65894 99.0 0.76306 37.74186 8.6029e-20
82 0.02 1044712 0.33587 8.96402 1.28582 7.66779 0.17346 -1.75146 3.95946 8.83197 8.96402 4.25843 -8.16951 0.88651 0.11303 1.42361 99.0 1.28164 14.77545 9.8566e-20
83 0.15 1044773 0.05625 8.27215 0.97494 7.7693 0.14817 -1.77944 3.00086 8.2069 8.27215 1.87671 -7.94863 1.31855 0.01881 2.08591 99.0 0.97482 6.81816 2.5276000000000004e-19
84 0.01 1044930 0.9649 9.64553 1.41461 8.34197 0.50077 -2.69701 2.38265 9.47717 9.64553 8.28049 -8.56165 0.69873 0.33139 2.35038 99.0 1.40908 16.84732 3.5282e-19
85 0.3 1045391 0.01063 7.3122 1.09516 6.56467 0.60419 -3.69925 1.77413 7.29234 7.3122 0.2058 -7.98013 1.55945 0.00366 3.61213 99.0 1.09395 59.89568 1.2687e-19
86 0.01 1045773 0.5187 8.98213 1.13946 7.47919 0.47744 -1.9875 3.09497 8.84459 8.98213 2.9628 -8.32871 0.86603 0.17843 1.86818 99.0 1.13712 15.07828 7.0932e-20
87 0.12 1045868 0.07039 7.92224 0.12958 7.38592 0.05989 -2.78339 3.23584 7.84755 7.92224 0.83848 -7.94486 1.27667 0.02352 1.90712 99.0 0.12967 42.50411 1.0058000000000001e-19
88 0.02 1045875 0.41095 8.73124 1.10058 8.2144 0.19717 -2.13394 2.37996 8.5983 8.73124 2.26063 -8.23982 1.05223 0.13866 2.539 99.0 1.09885 6.41321 2.35e-19
89 0.03 1045970 0.22494 9.67147 0.50086 8.19777 0.7147 -2.10398 2.63328 9.56088 9.67147 30.2244 -8.04966 1.22856 0.07556 2.35482 99.0 0.50066 14.42552 6.983600000000001e-19
90 0.01 1045990 0.59422 9.77726 0.3774 8.17105 0.09953 -1.36672 2.96671 9.62764 9.77726 17.8872 -8.37368 0.80732 0.20145 1.9329 99.0 0.37747 29.95443 1.2603e-18
91 0.29 1046192 0.01279 9.32588 1.43424 7.76247 0.92787 -3.56039 3.4054 9.301 9.32588 21.23858 -7.9745 1.26371 0.00436 1.82507 99.0 1.4301 22.36288 6.365400000000001e-19
92 0.3 1046210 0.01043 8.12418 1.81579 7.20627 0.10242 -1.81539 3.61903 8.10274 8.12418 1.33484 -7.97818 1.23322 0.0036 1.70189 99.0 1.81089 222.75236 3.2137000000000004e-19
93 0.3 1046461 0.01036 7.6006 0.50529 6.94864 0.37472 -1.44637 2.09154 7.58571 7.6006 0.3998 -7.9832 1.49093 0.00357 3.08426 99.0 0.50479 129.23111 2.4625000000000004e-19
94 0.22 1046787 0.02928 8.66591 1.15138 6.75746 0.38161 -1.8977 3.86848 8.62002 8.66591 4.64689 -7.9616 1.19737 0.00981 1.56227 99.0 1.14939 60.9332 2.3740000000000003e-19
95 0.28 1046788 0.01602 8.69268 0.62619 7.42096 0.75611 -3.53999 3.69372 8.6665 8.69268 4.9423 -7.97194 1.22283 0.00542 1.65814 99.0 0.62519 53.6429 1.5928e-19
96 0.01 1046819 0.85535 9.66835 0.0351 8.0097 0.02156 -1.78423 3.71706 9.49816 9.66835 9.81109 -8.50508 0.54834 0.29195 1.3648 99.0 0.03534 71.94395 4.7923e-19
97 0.0 1046862 2.3121 10.51477 1.1016 8.40656 1.14882 -3.3507 1.77247 10.31255 10.51477 25.44542 -8.91778 0.44435 0.81669 2.85733 99.0 1.1 17.03316 5.518e-19
98 0.29 1046917 0.01307 8.32536 1.82393 6.9623 0.61768 -1.20001 3.98619 8.29752 8.32536 2.12132 -7.97292 1.18371 0.00445 1.51673 99.0 1.81819 90.97617 8.0981e-20
99 0.01 1047297 0.98293 10.56703 1.19122 7.65538 0.80203 -2.3743 3.36814 10.38941 10.56703 73.7143 -8.58108 0.51846 0.34582 1.49559 99.0 1.18811 2.42952 4.1537000000000003e-19
100 0.01 1047725 0.89469 9.10458 0.92355 8.54995 0.13431 -2.04815 3.35915 8.9389 9.10458 2.57945 -8.53664 0.56924 0.31048 1.54878 99.0 0.92405 11.8597 1.0231000000000001e-19
101 0.3 1047746 0.01135 9.35142 1.62253 7.10758 1.31288 -1.86481 3.32595 9.32559 9.35142 22.52511 -7.97718 1.27556 0.00389 1.87661 99.0 1.61658 31.44546 2.6623e-19
102 -0.11 1047753 3.26753 11.58949 0.09002 0.08065 1.0023 -2.54311 1.71279 11.28514 11.58949 0.0 -23.28194 -14.01129 3.11591 0.61978 0.96445 0.0907 61.34935 1.1484999999999999e-21
103 0.08 1047891 0.10211 9.43901 0.21796 7.66923 1.70605 -1.64505 2.07001 9.35271 9.43901 24.5828 -7.93908 1.49201 0.03415 3.08656 99.0 0.21794 23.06193 1.2256e-19
104 0.29 1048096 0.01333 8.85269 0.6514 7.5318 0.60535 -1.61334 2.99716 8.82912 8.85269 7.14397 -7.97641 1.32651 0.00454 2.11007 99.0 0.65043 15.65836 6.898600000000001e-19
